optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,426,426,0,0
steepest,427,469,1000,5915
steepest,427,455,1000,5895
steepest,426,435,1000,5919
steepest,428,447,1000,5984
steepest,427,454,1000,5809
steepest,428,459,1000,5907
steepest,428,469,1000,6034
steepest,430,447,1000,4882
steepest,427,456,1000,5028
steepest,428,464,1000,5315
greedy,428,451,1000,6710
greedy,427,451,1000,7904
greedy,426,444,1000,7965
greedy,427,448,1000,7838
greedy,426,444,1000,7985
greedy,426,451,1000,7954
greedy,427,467,1000,7731
greedy,426,459,1000,7910
greedy,427,451,1000,7034
greedy,427,435,1000,7147
heuristic,465,559,1000,221315
heuristic,465,548,1000,221044
heuristic,465,575,1000,231694
heuristic,465,535,1000,229907
heuristic,465,554,1000,230563
heuristic,465,531,1000,234357
heuristic,465,562,1000,230848
heuristic,465,549,1000,223487
heuristic,465,556,1000,233515
heuristic,465,613,1000,229267
